YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,PRECTOTCORR,RH2M,QV2M,PS,WS2M,WS10M,WD2M,WD10M
2023,3,26,12,3.06,3.58,4.43,367.25,419.17,51.01,1.67,8.67,4.5,-8.37,-1.94,0,38.38,3.23,62.3,5.73,10.90793707,230.53,230.48
2023,5,11,12,3.41,3.89,4.71,420.4,454.95,59.65,2.16,11.73,7.73,-8.99,-0.63,0,28.69,2.99,62.48,5.76,10.96504669,214.23,214.04
2023,4,30,14,0.41,2.13,3.97,58.65,233.27,7.49,0.18,0.9,2.58,-0.92,0.83,0.32,79.44,5.86,62.22,5.61,10.6794986,222.18,222.35
2023,5,20,15,1.35,2.13,3.32,166.6,248.45,21.19,0.53,2.77,7.23,-0.89,3.17,0,57.19,5.86,62.34,5.69,10.83179091,223.44,223.45
2023,4,16,15,1.48,1.91,3.17,168.2,213.3,20.49,0.47,2.38,7.66,-3.3,2.18,0,46.06,4.82,62.51,5.66,10.77468129,219.96,219.95
2023,4,18,13,2.76,3.25,4.41,330.08,377.5,43.62,1.4,7.23,9.38,-1.25,4.07,0,48,5.62,62.74,5.71,10.86986399,223.56,223.67
2023,4,27,12,1.76,3.41,4.68,220.92,387.45,28.95,0.97,4.92,6.45,-4.22,1.12,0,46.94,4.52,62.48,5.75,10.94601015,218.1,218.17
2023,3,4,12,2.24,3.22,4.12,265.88,380.35,36.66,1.23,6.35,4.51,-7.5,-1.5,0,42.5,3.54,62.75,5.69,10.83179091,229.79,229.84
2023,4,5,16,1.14,1.58,2.18,136.95,187.55,17.99,0.27,1.33,1.61,-4.27,-1.34,0.16,65.44,4.52,62.17,5.59,10.64142552,219.5,219.54
2023,4,15,14,2.06,2.78,3.9,246.15,323.73,32.94,0.84,4.33,9.19,-5.14,2.02,0,35.75,4.15,62.75,5.69,10.83179091,218.48,218.51
2023,4,5,11,3.37,3.73,4.46,410.83,442.1,59.3,1.99,10.4,4.3,-8.9,-2.31,0,38.19,3.17,62.25,5.67,10.79371783,227.96,227.98
2023,3,6,13,2.5,3.17,3.98,297.65,369.52,40.91,1.35,7.23,3.64,-10.52,-3.44,0,34.12,2.69,62.48,5.71,10.86986399,229.22,229.18
2023,4,15,12,2.67,3.41,4.62,320.73,396.98,42.41,1.3,6.4,9.87,-6.63,1.62,0,30.31,3.66,62.84,5.72,10.88890053,216.56,216.66
2023,4,16,12,2.44,3.41,4.62,298.42,398.42,40.08,1.38,7.15,9.62,-6.96,1.33,0,30.5,3.66,62.63,5.71,10.86986399,220.29,220.28
